Year,Location,Competition,Round,Phase,Class,Rank,Bib,Athlete Name,Last Name,First Name,Nation,Time,Time Behind,% Behind Winner,Faults,Competition ID,Athlete ID
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,59,155,Yu-Chia LIN,LIN,Yu-Chia,TPE,61.88,10.67,120.84%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Yu-Chia LIN
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,60,143,Rokas POPIERA,POPIERA,Rokas,LTU,62.28,11.07,121.62%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Rokas POPIERA
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,61,162,Nicolas RIVADENEYRA,RIVADENEYRA,Nicolas,ECU,62.57,11.36,122.18%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Nicolas RIVADENEYRA
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,62,112,Alexandr KOROBOV,KOROBOV,Alexandr,KAZ,62.81,11.6,122.65%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Alexandr KOROBOV
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,63,130,George NOR,NOR,George,CAN,62.96,11.75,122.94%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX George NOR
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,64,111,Max STEINBRENNER,STEINBRENNER,Max,AUT,63.92,12.71,124.82%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Max STEINBRENNER
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,65,114,Michal SMIESKO,SMIESKO,Michal,CAN,64.66,13.45,126.26%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Michal SMIESKO
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,66,171,Lukas ROHRMEISTER,ROHRMEISTER,Lukas,AUT,68.6,17.39,133.96%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Lukas ROHRMEISTER
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,67,163,Dags POKSANS,POKSANS,Dags,LAT,73.83,22.62,144.17%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Dags POKSANS
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,68,147,Barrie TEUNISSEN,TEUNISSEN,Barrie,NED,75.22,24.01,146.89%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Barrie TEUNISSEN
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,69,161,James GOTTE,GOTTE,James,RSA,120.35,69.14,235.01%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX James GOTTE
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,70,116,Raage MAGAN,MAGAN,Raage,DJI,60.71,9.5,118.55%,FLT (7),2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX Raage MAGAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,MCSLX,71,107,James STAMP,STAMP,James,AUS,56.86,5.65,111.03%,FLT (3),2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial MCSLX James STAMP
2025,Foix,Junior World Championships,Brackets,Final,WCSLX,1,,Mina BLUME,BLUME,Mina,GER,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Mina BLUME
2025,Foix,Junior World Championships,Brackets,Final,WCSLX,2,,Britta JUNG,JUNG,Britta,GER,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Britta JUNG
2025,Foix,Junior World Championships,Brackets,Final,WCSLX,3,,Ainara GOIKOETXEA,GOIKOETXEA,Ainara,ESP,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Ainara GOIKOETXEA
2025,Foix,Junior World Championships,Brackets,Final,WCSLX,4,,Olwen YATES,YATES,Olwen,GBR,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Olwen YATES
2025,Foix,Junior World Championships,Brackets,Semi-Final,WCSLX,5,,Margot LAPEZE,LAPEZE,Margot,FRA,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Margot LAPEZE
2025,Foix,Junior World Championships,Brackets,Semi-Final,WCSLX,6,,Anna FABIANOVA,FABIANOVA,Anna,CZE,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Anna FABIANOVA
2025,Foix,Junior World Championships,Brackets,Semi-Final,WCSLX,7,,Anna SIMONA,SIMONA,Anna,ESP,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Anna SIMONA
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,9,,Jana BELMONTE,BELMONTE,Jana,ESP,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Jana BELMONTE
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,10,,Elizaveta RIABIKOVA,RIABIKOVA,Elizaveta,AIN,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Elizaveta RIABIKOVA
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,11,,Carla RHEIN,RHEIN,Carla,SUI,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Carla RHEIN
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,12,,Nerea CASTIGLIONE,CASTIGLIONE,Nerea,ARG,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Nerea CASTIGLIONE
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,13,,Lucie VACULOVA,VACULOVA,Lucie,CZE,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Lucie VACULOVA
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,14,,Eyleen VUILLEUMIER,VUILLEUMIER,Eyleen,SUI,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Eyleen VUILLEUMIER
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,15,,Isabella ALTMAN,ALTMAN,Isabella,USA,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Isabella ALTMAN
2025,Foix,Junior World Championships,Brackets,Quarter-Final,WCSLX,16,,Lilou MANIET,MANIET,Lilou,BEL,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Lilou MANIET
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,17,,Hanna DANEK,DANEK,Hanna,POL,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Hanna DANEK
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,18,,Carden OETTING,OETTING,Carden,USA,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Carden OETTING
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,19,,Mine ONOZAWA,ONOZAWA,Mine,JPN,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Mine ONOZAWA
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,20,,Codie DAVIDSON,DAVIDSON,Codie,AUS,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Codie DAVIDSON
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,21,,Gianna CADUFF,CADUFF,Gianna,SUI,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Gianna CADUFF
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,22,,Tess PATEMAN,PATEMAN,Tess,NZL,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Tess PATEMAN
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,23,,Darcey MCMULLINS,MCMULLINS,Darcey,GBR,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Darcey MCMULLINS
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,24,,Olivia LONG,LONG,Olivia,USA,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Olivia LONG
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,25,,Arina KONTCHAKOV,KONTCHAKOV,Arina,GBR,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Arina KONTCHAKOV
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,26,,Neele KRECH,KRECH,Neele,GER,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Neele KRECH
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,27,,Klara VOJTIKOVA,VOJTIKOVA,Klara,CZE,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Klara VOJTIKOVA
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,28,,Karolina ABRAHAMOVA,ABRAHAMOVA,Karolina,SVK,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Karolina ABRAHAMOVA
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,29,,Lea SENICA,SENICA,Lea,SLO,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Lea SENICA
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,30,,Freja BOOCOCK,BOOCOCK,Freja,AUS,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Freja BOOCOCK
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,31,,Zara ZAHORSKA,ZAHORSKA,Zara,SVK,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Zara ZAHORSKA
2025,Foix,Junior World Championships,Brackets,Heats,WCSLX,32,,Paige ZIMMERMAN,ZIMMERMAN,Paige,CAN,,,,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Brackets WCSLX Paige ZIMMERMAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,1,102,Anna SIMONA,SIMONA,Anna,ESP,57.69,0,100.00%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Anna SIMONA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,2,109,Arina KONTCHAKOV,KONTCHAKOV,Arina,GBR,57.97,0.28,100.49%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Arina KONTCHAKOV
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,3,140,Britta JUNG,JUNG,Britta,GER,57.97,0.28,100.49%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Britta JUNG
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,4,119,Neele KRECH,KRECH,Neele,GER,58.28,0.59,101.02%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Neele KRECH
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,5,115,Klara VOJTIKOVA,VOJTIKOVA,Klara,CZE,58.63,0.94,101.63%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Klara VOJTIKOVA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,6,121,Hanna DANEK,DANEK,Hanna,POL,58.73,1.04,101.80%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Hanna DANEK
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,7,152,Olwen YATES,YATES,Olwen,GBR,58.83,1.14,101.98%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Olwen YATES
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,8,125,Karolina ABRAHAMOVA,ABRAHAMOVA,Karolina,SVK,58.88,1.19,102.06%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Karolina ABRAHAMOVA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,9,113,Mina BLUME,BLUME,Mina,GER,59.18,1.49,102.58%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Mina BLUME
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,10,114,Carden OETTING,OETTING,Carden,USA,59.33,1.64,102.84%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Carden OETTING
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,11,110,Margot LAPEZE,LAPEZE,Margot,FRA,59.56,1.87,103.24%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Margot LAPEZE
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,12,138,Mine ONOZAWA,ONOZAWA,Mine,JPN,59.57,1.88,103.26%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Mine ONOZAWA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,13,118,Anna FABIANOVA,FABIANOVA,Anna,CZE,59.9,2.21,103.83%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Anna FABIANOVA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,14,143,Lucie VACULOVA,VACULOVA,Lucie,CZE,59.98,2.29,103.97%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Lucie VACULOVA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,15,104,Rosie REX,REX,Rosie,NZL,60.08,2.39,104.14%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Rosie REX
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,16,105,Eyleen VUILLEUMIER,VUILLEUMIER,Eyleen,SUI,60.11,2.42,104.19%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Eyleen VUILLEUMIER
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,17,130,Lea SENICA,SENICA,Lea,SLO,60.11,2.42,104.19%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Lea SENICA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,18,103,Isabella ALTMAN,ALTMAN,Isabella,USA,60.38,2.69,104.66%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Isabella ALTMAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,19,111,Freja BOOCOCK,BOOCOCK,Freja,AUS,60.62,2.93,105.08%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Freja BOOCOCK
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,20,106,Ainara GOIKOETXEA,GOIKOETXEA,Ainara,ESP,60.94,3.25,105.63%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Ainara GOIKOETXEA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,21,120,Lilou MANIET,MANIET,Lilou,BEL,61.43,3.74,106.48%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Lilou MANIET
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,22,146,Zara ZAHORSKA,ZAHORSKA,Zara,SVK,61.45,3.76,106.52%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Zara ZAHORSKA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,23,126,Paige ZIMMERMAN,ZIMMERMAN,Paige,CAN,61.49,3.8,106.59%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Paige ZIMMERMAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,24,112,Jana BELMONTE,BELMONTE,Jana,ESP,61.62,3.93,106.81%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Jana BELMONTE
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,25,101,Codie DAVIDSON,DAVIDSON,Codie,AUS,62.65,4.96,108.60%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Codie DAVIDSON
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,26,142,Elizaveta RIABIKOVA,RIABIKOVA,Elizaveta,AIN,62.68,4.99,108.65%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Elizaveta RIABIKOVA
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,27,123,Carla RHEIN,RHEIN,Carla,SUI,63.16,5.47,109.48%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Carla RHEIN
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,28,108,Nerea CASTIGLIONE,CASTIGLIONE,Nerea,ARG,63.38,5.69,109.86%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Nerea CASTIGLIONE
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,29,134,Gianna CADUFF,CADUFF,Gianna,SUI,63.6,5.91,110.24%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Gianna CADUFF
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,30,116,Tess PATEMAN,PATEMAN,Tess,NZL,64.17,6.48,111.23%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Tess PATEMAN
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,31,132,Darcey MCMULLINS,MCMULLINS,Darcey,GBR,64.33,6.64,111.51%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Darcey MCMULLINS
2025,Foix,Junior World Championships,Time Trial,Time Trial,WCSLX,32,133,Olivia LONG,LONG,Olivia,USA,64.48,6.79,111.77%,,2025 Foix Junior World Championships,2025 Foix Junior World Championships Time Trial WCSLX Olivia LONG
